,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
65,1.23,5,3,8,61.3,57.0,6.87,6.92,4.23,9516.93146386184
66,0.27,4,6,7,60.6,58.0,4.18,4.2,2.54,1362.1070345692697
67,0.53,5,7,4,61.4,56.0,5.18,5.21,3.19,2550.8636061869493
68,1.25,5,4,2,61.1,55.0,6.95,6.99,4.26,6870.9214026012905
69,0.34,5,6,6,62.3,57.0,4.48,4.44,2.78,1608.7432935658362
70,0.36,4,2,4,62.7,59.0,4.54,4.58,2.86,-696.9657394339147
71,0.34,5,4,3,61.2,57.0,4.56,4.53,2.78,-601.5872349982692
72,1.12,2,6,3,64.3,57.0,6.56,6.5,4.2,6426.354265656128
73,0.3,5,3,5,61.6,55.0,4.27,4.3,2.64,-225.66955847450572
74,0.36,5,7,3,62.0,56.0,4.61,4.55,2.84,533.498721943387
75,0.71,5,5,7,61.1,54.0,5.78,5.84,3.55,5063.7096438729
76,0.32,4,4,4,62.6,60.0,4.33,4.36,2.72,-408.87749761321083
77,0.5,4,6,4,61.3,60.0,5.11,5.07,3.12,1812.3331282866475
78,0.51,3,6,3,63.3,59.0,5.09,5.05,3.21,1221.4734704086131
79,0.58,5,1,5,61.9,58.0,5.31,5.35,3.3,1595.102982336597
80,0.3,5,5,8,62.5,54.0,4.31,4.33,2.7,1984.6609700896006
81,0.39,5,4,7,62.3,57.0,4.7,4.64,2.91,1932.1127475674912
82,0.31,5,5,4,61.8,56.0,4.37,4.33,2.69,-21.823816818209707
83,0.9,3,3,5,60.5,63.0,6.13,6.16,3.72,4736.201676888359
84,0.81,4,4,2,61.7,57.0,5.99,5.94,3.68,2849.5362738346575
85,0.7,4,6,2,61.1,61.0,5.74,5.69,3.49,2522.5401207210834
86,0.38,3,1,4,60.5,60.0,4.64,4.68,2.82,-996.1502209525916
87,0.71,3,4,3,60.0,59.0,5.76,5.8,3.47,2339.2924170091137
88,0.71,3,7,4,63.1,58.0,5.67,5.7,3.59,3822.228471944154
89,0.9,3,3,5,62.1,59.0,6.09,6.14,3.8,4736.201676888359
90,0.74,3,5,2,63.2,58.0,5.75,5.71,3.62,2399.094037755056
91,1.5,4,3,4,62.4,59.0,7.32,7.29,4.56,9639.90549753016
92,1.5,3,5,3,63.0,55.0,7.27,7.31,4.59,9600.741679301807
93,0.42,5,5,5,61.0,57.0,4.87,4.84,2.96,1468.3258717674016
94,1.01,4,4,4,61.6,58.0,6.45,6.4,3.96,5654.097252453228
95,2.48,4,2,2,63.0,62.0,8.62,8.58,5.42,16884.127514054962
96,1.02,5,5,6,61.1,56.3,6.48,6.52,3.97,7264.066324892949
97,0.4,5,7,4,61.3,57.0,4.77,4.75,2.92,1408.5640155947222
98,0.7,5,5,3,61.3,57.0,5.76,5.79,3.54,2881.4864584124407
99,1.01,2,6,4,62.5,58.0,6.32,6.36,3.96,5983.3815701625845
100,1.13,3,2,4,60.7,58.0,6.72,6.75,4.09,5913.8222442348
101,1.09,5,2,4,61.9,56.0,6.62,6.67,4.09,5872.626168346151
102,0.7,3,6,4,62.7,58.0,5.65,5.67,3.55,3414.576753204825
103,1.0,4,5,3,60.8,59.0,6.44,6.38,3.9,5362.4220760938715
104,1.52,5,3,4,61.8,54.0,7.42,7.43,4.59,9970.784256691137
105,0.41,5,4,6,62.2,56.0,4.75,4.8,2.97,1584.2626495741079
106,0.43,3,1,4,60.9,59.0,4.86,4.9,2.97,-556.8042245709657
107,0.31,3,6,2,60.8,61.0,4.39,4.43,2.68,-1059.4990116639256
108,0.33,5,4,4,62.2,56.0,4.47,4.44,2.77,-165.86793772856163
109,0.7,4,6,4,61.0,59.0,5.74,5.7,3.49,3569.7171138131507
110,0.33,5,4,6,62.5,54.0,4.41,4.45,2.77,881.3090553635066
111,1.16,4,3,2,62.6,57.0,6.75,6.67,4.2,5605.175729043036
112,0.51,5,6,4,61.8,57.0,5.15,5.14,3.18,2055.3426881712967
113,1.13,2,4,1,63.4,58.0,6.58,6.61,4.18,4827.481432914379
114,0.52,4,6,4,62.5,60.0,5.1,5.14,3.2,1988.0715268392978
115,0.23,3,5,6,61.4,56.0,3.94,3.97,2.43,12.118860846607276
116,0.5,1,5,3,64.7,60.0,4.99,4.84,3.18,503.54103045263673
117,1.08,3,7,5,60.5,58.0,6.53,6.63,3.98,7596.977341714222
118,0.3,4,4,5,62.2,59.0,4.31,4.28,2.67,-61.02739961982843
119,0.48,5,1,5,62.2,54.0,5.01,5.06,3.13,716.4109895733445
120,1.51,5,1,5,61.6,58.0,7.35,7.43,4.55,9766.93851503484
121,1.03,4,5,2,62.4,59.0,6.45,6.38,4.0,5102.441177376813
122,0.31,3,4,6,63.4,59.0,4.29,4.26,2.71,395.2899355942063
123,0.4,5,4,8,62.3,55.0,4.74,4.76,2.96,2543.570443389852
124,1.03,5,6,4,61.7,56.0,6.45,6.54,4.01,6624.541050540209
125,1.16,4,1,3,62.5,58.0,6.73,6.67,4.19,5489.199186663065
126,1.04,3,1,2,62.8,57.0,6.44,6.5,4.06,3756.0399381928037
127,0.71,4,6,4,61.5,60.0,5.76,5.68,3.52,3657.5863130894777
128,0.29,3,3,6,61.2,56.0,4.26,4.29,2.61,-100.23098242144624
129,1.09,5,4,2,61.2,57.0,6.68,6.63,4.07,5465.014214180088
130,0.74,5,5,5,62.3,56.0,5.76,5.79,3.6,4280.14024860981
131,0.42,5,7,4,62.4,55.0,4.82,4.8,3.0,1584.3024141473725
132,0.54,5,2,3,62.0,55.0,5.21,5.25,3.24,516.2317116022314
133,0.51,5,6,4,62.6,55.0,5.08,5.11,3.19,2055.3426881712967
134,1.01,4,5,2,58.8,61.0,6.53,6.46,3.82,4926.702778824163
135,1.0,4,3,4,59.4,61.0,6.51,6.46,3.85,5246.4455337139025
136,1.02,4,3,4,61.0,60.0,6.5,6.46,3.95,5422.183932266553
137,0.73,2,6,5,60.8,61.0,5.77,5.8,3.52,4046.6324869715118
138,1.01,4,3,2,60.3,59.0,6.51,6.45,3.91,4287.1377398981585
139,0.33,2,7,3,63.1,55.0,4.38,4.4,2.77,-195.52995771056248
140,1.22,5,5,5,62.3,57.0,6.79,6.83,4.24,8497.86181387342
141,0.31,5,7,5,62.0,54.0,4.35,4.36,2.7,1141.3297186538293
142,1.07,4,4,3,60.5,62.0,6.69,6.6,4.02,5657.723951565147
143,1.01,3,6,6,60.2,60.0,6.46,6.5,3.9,7185.698923862976
144,0.23,3,5,8,59.5,58.0,4.0,4.03,2.39,1059.2958539386746
145,0.35,3,7,5,60.9,58.0,4.54,4.56,2.77,1182.52579454248
146,0.55,5,5,6,60.7,56.0,5.31,5.34,3.23,3134.213958905664
147,0.9,5,4,3,61.9,59.0,6.16,6.19,3.82,4319.087924475942
148,0.72,5,4,7,62.2,57.0,5.72,5.75,3.57,4831.796323686225
149,0.83,3,6,3,63.5,58.0,5.93,5.98,3.78,4033.28784725102
150,1.04,5,3,3,61.9,57.0,6.49,6.46,4.01,5229.474194881492
151,0.71,3,6,4,59.9,59.0,5.77,5.81,3.47,3502.445952481152
152,0.43,5,5,3,61.3,56.0,4.9,4.86,2.99,509.0180779516595
153,0.33,5,6,4,61.3,55.0,4.46,4.48,2.74,473.69710119744286
154,1.72,1,7,2,64.6,58.0,7.53,7.46,4.84,11339.559884544282
155,1.13,5,4,3,61.8,55.0,6.71,6.75,4.16,6340.07950783142
156,0.52,5,7,3,62.4,56.0,5.12,5.17,3.21,1939.4059103645905
157,0.3,3,4,5,62.5,55.0,4.25,4.32,2.68,-216.16776022815338
158,1.53,4,4,5,61.0,60.0,7.43,7.4,4.52,10746.884111368176
159,2.02,1,3,2,56.5,61.0,8.33,8.37,4.72,12696.505784982031
160,0.33,4,3,5,61.0,59.0,4.5,4.45,2.73,-117.20232125385428
161,0.7,3,4,1,61.5,63.0,5.73,5.65,3.5,1204.2462246407213
162,1.26,4,2,3,60.5,62.0,6.97,6.92,4.2,6687.673698889321
163,0.3,4,7,4,62.5,59.0,4.28,4.23,2.66,374.73166222314467
164,0.59,3,3,5,62.1,55.0,5.37,5.41,3.35,2012.2564993222768
165,0.82,5,6,3,62.1,55.0,5.98,6.0,3.72,4255.699369191345
166,0.39,3,4,6,60.7,61.0,4.7,4.73,2.86,1098.2435298048076
167,0.31,5,3,8,62.1,54.0,4.33,4.37,2.7,1432.9651304399213
168,1.26,5,2,2,62.0,56.0,7.0,6.94,4.32,6319.225562951611
169,1.51,3,5,2,62.7,60.0,7.25,7.32,4.57,9165.022382032099
170,0.56,5,4,5,60.6,56.0,5.33,5.36,3.24,2378.7121421729535
171,0.31,5,4,7,62.5,55.0,4.34,4.33,2.71,1229.1591533568899
172,0.56,5,3,6,60.9,57.0,5.38,5.33,3.26,2582.518119255985
173,0.96,4,6,2,58.2,58.0,6.52,6.47,3.78,4807.1393019055395
174,0.52,3,6,3,62.7,57.0,5.1,5.14,3.21,1309.3426696849383
175,1.02,3,3,3,63.5,55.0,6.31,6.35,4.02,4743.4550751121915
176,1.06,2,2,5,57.5,62.0,6.71,6.83,3.9,5667.185985238235
177,1.21,5,3,3,62.1,59.0,6.81,6.75,4.21,6723.2505825790195
178,2.02,1,3,4,64.5,57.0,8.0,7.95,5.14,13743.682778074099
179,1.52,5,4,4,62.1,56.0,7.39,7.34,4.57,10290.566776154139
180,2.03,3,2,2,62.8,59.0,8.04,8.08,5.06,12774.873186012
181,0.28,2,5,6,61.2,62.0,4.16,4.21,2.56,296.32449661990904
182,0.7,1,4,5,65.8,61.0,5.61,5.46,3.64,2988.319489608206
183,0.7,5,4,7,62.3,57.0,5.61,5.65,3.51,4656.057925133575
184,2.32,1,3,1,70.5,55.0,7.93,7.9,5.58,14808.993266725754
185,0.58,5,1,4,60.9,57.0,5.38,5.4,3.28,1071.5144857905634
186,0.54,5,7,5,61.6,54.0,5.24,5.25,3.23,3162.32130200931
187,1.2,3,2,3,62.9,54.0,6.75,6.77,4.25,6005.318142623042
188,0.52,3,5,4,62.4,57.0,5.12,5.13,3.2,1513.1486467679697
189,1.57,4,5,2,60.2,60.0,7.49,7.43,4.49,9847.377938298376
190,0.7,4,2,1,62.3,58.0,5.69,5.55,3.51,719.8215463230408
191,1.57,3,3,3,62.0,60.0,7.4,7.44,4.6,9576.26103531008
192,1.02,3,7,4,63.2,58.0,6.4,6.36,4.03,6546.173649510236
193,1.5,4,5,4,62.4,57.0,7.38,7.29,4.58,10279.470536456165
194,0.7,3,6,5,62.7,60.0,5.59,5.64,3.52,3938.1652497508603
195,0.42,4,5,3,60.6,58.0,4.89,4.81,2.94,266.0085180670094
196,2.01,4,3,3,60.0,60.0,8.16,8.13,4.89,13597.646164076714
197,0.31,4,4,5,62.2,58.0,4.38,4.34,2.71,26.841799656497642
198,0.44,5,6,6,61.9,56.0,4.91,4.88,3.03,2487.435286329088
199,0.7,5,7,6,61.7,55.0,5.73,5.75,3.54,5091.816986976548
200,1.2,4,1,3,60.0,61.0,6.89,6.84,4.12,5840.675983768366
201,1.05,5,4,5,62.2,57.0,6.49,6.51,4.04,6684.302906712888
202,0.7,5,5,1,62.1,57.0,5.67,5.64,3.52,1834.3094653203734
203,0.53,4,5,3,60.9,59.0,5.21,5.23,3.18,1232.569710106587
204,1.09,4,3,2,61.2,62.0,6.63,6.58,4.04,4990.091334108762
205,0.92,4,6,2,61.8,59.0,6.19,6.11,3.8,4455.662504800239
206,0.71,4,5,4,58.0,62.0,5.85,5.81,3.38,3337.8037936264755
207,0.57,2,5,2,61.9,57.7,5.32,5.34,3.3,750.1772894492042
208,0.71,3,4,4,63.5,59.0,5.67,5.63,3.59,2862.8809135551473
209,0.89,4,4,3,61.1,58.0,6.24,6.17,3.79,4076.0783645912907
210,1.06,5,4,3,62.9,56.0,6.52,6.49,4.09,5724.995112897144
211,0.86,4,3,2,61.0,58.0,6.15,6.12,3.74,2969.0997507532793
212,1.1,4,4,4,60.2,58.0,6.75,6.71,4.05,6444.920045940156
213,0.7,5,6,3,62.5,57.0,5.7,5.72,3.57,3201.268977875443
214,1.04,4,4,5,61.5,61.0,6.56,6.51,4.02,6441.293346828239
215,0.93,4,6,1,62.3,60.0,6.23,6.2,3.87,4019.9432075305303
216,1.1,4,5,1,59.8,61.0,6.7,6.65,3.99,5193.937075765058
217,2.12,4,3,2,62.3,58.0,8.25,8.16,5.12,14040.618859570257
218,0.33,5,5,7,62.4,55.0,4.44,4.47,2.78,1724.6800713725424
219,0.9,1,2,4,65.8,55.0,6.05,6.01,3.97,3582.549939662671
220,0.71,5,6,5,62.0,57.0,5.72,5.66,3.53,4336.315170243835
221,1.75,5,4,4,62.1,57.0,7.73,7.69,4.79,12311.55835950962
222,0.81,5,3,3,61.4,56.0,6.0,6.05,3.7,3208.482611526013
223,0.75,2,2,7,63.9,61.0,5.7,5.67,3.63,3990.4178007642204
224,0.4,5,4,4,62.6,56.0,4.69,4.74,2.95,449.2164572057154
225,0.34,5,4,4,62.1,55.0,4.49,4.46,2.78,-77.99873845223556
226,0.35,4,5,4,61.8,58.0,4.48,4.52,2.78,174.5126196787669
227,1.29,3,2,4,62.8,58.0,6.89,6.93,4.34,7319.729432656006
228,1.7,4,4,3,61.7,58.0,7.69,7.6,4.72,11193.483505973634
229,1.01,4,5,3,62.7,54.0,6.42,6.37,4.01,5450.291275370197
230,0.47,2,7,3,63.8,59.0,4.9,4.88,3.12,1034.6388321579907
231,0.71,4,6,3,59.2,59.0,5.86,5.83,3.46,3133.9978165434422
232,1.01,5,4,5,61.3,56.0,6.49,6.44,3.96,6332.826109607588
233,0.92,2,1,2,59.0,63.0,6.3,6.35,3.73,2546.4691862685777
234,0.31,5,5,7,61.6,55.0,4.36,4.41,2.7,1548.9416728198921
235,0.3,5,4,7,61.3,56.0,4.3,4.34,2.65,1141.2899540805647
236,0.7,3,4,3,62.1,58.0,5.66,5.7,3.53,2251.4232177327885
237,1.01,4,3,8,62.1,59.0,6.47,6.41,4.0,7428.668719174362
238,1.5,3,3,2,62.5,60.0,7.25,7.32,4.55,8437.588143829767
239,0.9,3,7,5,62.2,58.0,6.14,6.18,3.83,6015.331754740368
240,0.23,2,5,6,62.8,61.0,3.92,3.95,2.47,-143.02149976171768
241,0.25,2,6,6,58.0,65.0,4.13,4.18,2.41,352.4994182539358
242,0.35,5,5,6,62.1,56.0,4.56,4.52,2.82,1376.8299733791591
243,0.73,3,7,2,60.4,59.0,5.8,5.86,3.52,2950.789877404737
244,0.4,3,4,8,61.2,57.0,4.77,4.79,2.92,2233.2897221732
245,0.3,5,6,4,61.5,55.0,4.33,4.29,2.65,210.08950336846738
246,1.01,4,1,6,62.7,59.0,6.46,6.39,4.03,5741.92668715629
247,0.51,5,7,2,62.5,55.0,5.12,5.15,3.21,1327.9482145422317
248,1.72,4,5,1,60.1,58.0,7.77,7.74,4.66,10641.82743089722
249,0.51,2,6,3,64.3,54.0,5.1,5.07,3.27,1066.333109800289
250,0.7,5,6,5,62.2,58.0,5.67,5.71,3.54,4248.445970967512
251,0.52,2,3,4,63.6,57.0,5.05,5.1,3.23,718.4432472336412
252,1.01,4,5,2,62.2,59.0,6.41,6.38,3.98,4926.702778824163
253,0.31,5,5,4,62.1,57.0,4.34,4.36,2.7,-21.823816818209707
254,1.01,2,4,3,63.6,57.0,6.33,6.37,4.04,4820.2280346905445
255,1.24,2,6,3,63.5,55.0,6.82,6.86,4.35,7480.78465697203
256,1.01,3,2,3,60.1,59.0,6.44,6.47,3.88,4335.803356372864
257,1.05,5,4,4,61.9,57.0,6.47,6.51,4.03,6160.714410166855
258,0.9,2,4,3,63.7,60.0,6.11,6.07,3.88,3853.6668426509677
259,0.56,5,6,4,61.6,57.0,5.3,5.32,3.27,2494.6886845529243
260,0.8,3,5,3,61.6,56.0,5.96,6.0,3.68,3449.8977299590424
261,0.3,5,7,3,62.5,57.0,4.32,4.29,2.69,6.283526285435983
262,0.76,5,3,4,62.7,57.0,5.82,5.86,3.66,3292.725111690421
263,1.21,4,3,3,59.8,58.0,6.95,6.9,4.14,6568.110221970695
264,1.51,3,1,5,61.4,57.0,7.3,7.38,4.51,9456.657793818193
265,1.21,5,3,6,61.3,56.0,6.85,6.89,4.21,8294.016072217122
266,0.7,5,5,3,61.5,57.0,5.67,5.74,3.51,2881.4864584124407
267,0.53,5,2,4,62.2,56.0,5.15,5.2,3.22,951.9510088719389
268,0.46,5,6,5,61.9,55.0,4.94,4.97,3.06,2139.5851883357063
269,0.41,5,4,8,61.7,56.0,4.79,4.81,2.96,2631.439642666175
270,0.37,3,5,4,61.0,58.0,4.61,4.63,2.82,195.11065762309136
271,0.58,5,5,2,60.9,57.0,5.4,5.44,3.3,1303.4675705505033
272,0.72,4,5,3,59.5,62.0,5.85,5.74,3.45,2902.084496356765
273,1.5,2,4,3,58.4,65.0,7.45,7.41,4.34,9125.81879923048
274,1.31,3,3,4,61.4,59.0,6.96,7.01,4.29,7815.250350671658
275,1.0,3,7,3,62.1,58.0,6.34,6.45,3.97,5846.84675441155
276,0.41,4,4,7,60.3,60.0,4.78,4.74,2.87,1952.7107855118174
277,0.38,5,5,7,61.0,57.0,4.67,4.71,2.86,2164.0260677541683
278,0.35,4,6,7,60.7,59.0,4.58,4.55,2.77,2065.060628779871
279,0.3,4,7,4,61.7,58.0,4.32,4.3,2.66,374.73166222314467
280,1.13,5,2,5,61.6,54.0,6.72,6.74,4.15,6747.691461997485
281,0.37,4,6,6,60.9,59.0,4.61,4.65,2.82,1717.2105307864877
282,0.39,4,4,6,60.7,61.0,4.73,4.7,2.86,1253.3838904131335
283,0.5,2,7,3,63.9,56.0,5.02,4.93,3.18,1298.2464299869662
284,0.31,5,6,4,61.5,56.0,4.39,4.42,2.71,297.95870264479254
285,1.72,2,7,2,63.4,62.0,7.53,7.59,4.79,11494.700245152608
286,1.27,5,3,3,59.8,57.0,7.08,7.01,4.22,7250.465778236972
287,1.0,2,7,4,62.8,61.0,6.31,6.34,3.97,6215.29489034926
288,1.59,4,2,4,59.9,60.0,7.61,7.57,4.55,10110.945771554087
289,0.38,3,5,4,60.9,56.0,4.67,4.72,2.86,282.9798568994174
290,2.39,5,1,5,62.1,57.0,8.53,8.57,5.31,17499.42805135146
291,1.01,4,5,3,62.2,59.0,6.36,6.41,3.97,5450.291275370197
292,0.31,4,3,7,62.6,58.0,4.33,4.29,2.7,754.2362732855636
293,2.05,5,1,5,61.8,58.0,8.12,8.16,5.03,14511.875275956403
294,0.7,2,5,3,61.1,61.0,5.68,5.71,3.48,2416.065376587465
295,1.01,1,2,1,56.1,63.0,6.7,6.65,3.74,2978.345642064147
296,1.55,3,3,4,63.3,56.0,7.38,7.32,4.65,9924.111133303462
297,0.33,4,6,7,59.7,58.0,4.49,4.52,2.69,1889.3222302272206
298,1.51,4,6,3,62.9,62.0,7.31,7.21,4.57,10163.533758649462
299,0.26,3,7,6,59.1,59.0,4.21,4.28,2.51,915.2914976015873
300,1.01,4,7,3,59.8,54.0,6.6,6.5,3.93,6089.856314296201
301,0.42,3,7,3,60.2,57.0,4.85,4.89,2.93,750.4331963846889
302,1.03,4,3,1,62.9,59.0,6.41,6.3,4.0,3939.2876419047752
303,1.57,5,2,2,62.6,58.0,7.38,7.41,4.63,9043.170740517693
304,1.01,3,4,5,63.1,55.0,6.34,6.37,4.01,6022.545388390938
305,2.51,4,1,2,59.3,58.0,8.87,8.83,5.25,16827.952592420937
306,0.7,3,7,3,63.2,55.0,5.62,5.65,3.56,3210.7707761217935
307,0.95,5,4,4,61.6,56.0,6.34,6.3,3.89,5282.022417403603
308,0.32,5,6,2,62.7,55.0,4.39,4.42,2.76,-661.3490911709505
309,1.25,4,1,2,62.3,59.0,6.82,6.86,4.26,5756.43348360396
310,2.26,4,2,2,62.0,58.0,8.4,8.37,5.2,14951.005129975807
311,0.28,5,4,8,60.9,57.0,4.24,4.27,2.59,1489.140052073948
312,1.52,5,2,3,61.4,57.0,7.4,7.43,4.55,9127.4132406821
313,0.4,2,7,5,56.3,59.0,4.94,4.97,2.79,1466.7314303157818
314,1.7,3,5,2,63.4,57.0,7.54,7.57,4.79,10834.537168282279
315,2.01,2,1,2,63.4,59.0,7.95,7.99,5.05,12124.211907388022
316,0.3,5,7,4,62.2,54.0,4.31,4.28,2.67,529.8720228314696
317,0.55,3,6,4,61.6,60.0,5.23,5.27,3.23,2096.5387640599492
318,0.33,4,6,7,59.7,58.0,4.52,4.49,2.69,1889.3222302272206
319,1.16,5,4,6,62.0,56.0,6.75,6.71,4.17,8174.452595298499
320,1.51,3,1,3,62.9,59.0,7.25,7.29,4.57,8409.480800726124
321,0.29,5,5,5,61.6,56.0,4.26,4.31,2.64,326.0262811751736
322,0.7,3,6,5,63.4,57.0,5.63,5.67,3.58,3938.1652497508603
323,0.39,4,3,2,61.2,58.0,4.51,6.02,4.44,-1160.7526152340051
324,0.52,5,6,4,61.2,56.0,5.2,5.16,3.17,2143.2118874476237
325,2.17,4,3,3,59.9,61.0,8.39,8.38,5.02,15003.55335249792
326,1.37,5,3,5,63.8,56.0,7.01,6.98,4.46,9176.334764092293
327,0.3,3,5,7,61.0,57.0,4.33,4.36,2.65,1150.791752326917
328,1.06,4,7,2,61.6,61.0,6.59,6.53,4.04,6005.613814131793
329,0.32,5,6,7,60.9,57.0,4.42,4.45,2.7,1956.5933915592195
330,0.32,4,4,4,61.0,59.0,4.42,4.46,2.71,-408.87749761321083
331,0.2,4,7,4,61.7,60.0,3.77,3.72,2.31,-503.96033054010695
332,0.7,5,3,4,61.1,57.0,5.71,5.74,3.5,2765.50991603247
333,0.53,5,6,5,61.5,57.0,5.22,5.25,3.22,2754.6695832699825
334,0.71,5,2,7,62.4,55.0,5.69,5.76,3.57,4104.362085483894
335,1.16,5,4,7,61.9,55.0,6.75,6.78,4.19,8698.041091844532
336,1.01,4,6,3,59.2,60.0,6.56,6.51,3.87,5770.073794833199
337,0.4,5,4,6,62.6,53.0,4.72,4.77,2.97,1496.3934502977827
338,1.51,2,5,2,62.9,55.0,7.22,7.28,4.56,9009.882021423775
339,1.04,3,2,2,61.6,58.0,6.47,6.58,4.02,4075.822457655806
340,0.37,5,2,3,60.7,60.0,4.6,4.62,2.8,-977.5446760952991
341,0.37,4,5,4,60.5,59.0,4.62,4.67,2.81,350.2510182314172
342,0.64,2,3,5,61.8,60.3,5.47,5.53,3.4,2296.4621350955786
343,2.01,3,2,3,60.8,60.0,8.12,8.15,4.95,13122.723284005386
344,1.29,5,4,4,62.5,57.0,6.89,6.92,4.35,8269.575192798658
